case,prompt_id,mode,seed,second_refresh,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,refresh_reasons,nsfw_flag,ssim,psnr_db,mean_absolute_rgb_error
animal_202,animal,early3,202,3,30.614894665777683,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.45743072032928467,12.836131630754167,0.15894068300334457
interior_101,interior,early1,101,1,31.25902183353901,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6013574600219727,15.403669838844174,0.0989498562282986
interior_101,interior,early3,101,3,31.452583324164152,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6207630038261414,15.75653298117629,0.09589000028722426
interior_101,interior,early4,101,4,31.159035556018353,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5926192402839661,15.104859084732329,0.10543455236098345
interior_202,interior,early3,202,3,30.956903785467148,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6453018188476562,16.001750527773225,0.09366987141129239
interior_202,interior,early4,202,4,30.732092704623938,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.658723771572113,15.811480515760465,0.10765535940531812
interior_202,interior,early1,202,1,31.236999206244946,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.7589578628540039,18.385719857402865,0.06938440659466912
architecture_101,architecture,early4,101,4,30.860548671334982,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.2501068413257599,9.234941590084343,0.24615622127757353
architecture_101,architecture,early1,101,1,30.76173585653305,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.32483428716659546,10.545858466678691,0.20776744668000666
architecture_101,architecture,early3,101,3,30.506410252302885,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.30416959524154663,10.318845407416825,0.2155982073615579
architecture_202,architecture,early1,202,1,31.25590666010976,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.28781449794769287,10.374573256636774,0.2163241567175373
architecture_202,architecture,early3,202,3,31.344002090394497,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.20958149433135986,9.887058221288354,0.24166259765625
architecture_202,architecture,early4,202,4,31.30919211357832,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.22467496991157532,9.927450376891978,0.2383606505549811
nature_101,nature,early3,101,3,32.27998323366046,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6842623949050903,16.03381465835389,0.11411601546543096
nature_101,nature,early4,101,4,32.28047937527299,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.64024817943573,14.169501535333268,0.1483256371192683
nature_101,nature,early1,101,1,31.76889217272401,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.7623404264450073,18.311381947478925,0.08345232695535897
nature_202,nature,early4,202,4,30.71503508836031,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5164945125579834,15.090607051856724,0.13020679249482997
nature_202,nature,early1,202,1,30.465797245502472,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.7912842035293579,20.697342541085895,0.054613599590226714
nature_202,nature,early3,202,3,30.81027700379491,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6436310410499573,16.406460446766527,0.10843142839818218
objects_101,objects,early1,101,1,31.500155560672283,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5828090906143188,14.973375636453987,0.10782706566106261
objects_101,objects,early3,101,3,31.56147615239024,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6704972386360168,15.16171212189374,0.11080026065602022
objects_101,objects,early4,101,4,31.49924024939537,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5210685133934021,13.032095144496083,0.15031372269773796
objects_202,objects,early3,202,3,30.18164264038205,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5755724906921387,16.29811271472642,0.10264918009440104
objects_202,objects,early4,202,4,30.255999360233545,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5005478858947754,15.18240870534937,0.12209257736704708
objects_202,objects,early1,202,1,29.900877822190523,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5780466198921204,17.000225418976985,0.09779318017897262
text_101,text,early4,101,4,30.36115273833275,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5063117146492004,14.45788837458686,0.12977236579446233
text_101,text,early1,101,1,30.514386799186468,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.590370237827301,15.252865024011722,0.10926633348651961
text_101,text,early3,101,3,30.335215762257576,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5161696076393127,14.506340171320385,0.12815733766244128
