index,timestep,refresh,age,lambda_value,delta_lambda,lambda_distance,conv_previous,conv_cache,noise_error,guided_noise_error,boundary_error,boundary_uncond_error,boundary_cond_error,mid_error,mid_uncond_error,mid_cond_error,case,prompt_id,seed
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.040193624794483185,0.040193624794483185,0.006072300020605326,0.039779625833034515,0.10528232902288437,0.09734437614679337,0.11310914158821106,0.385252445936203,0.42042791843414307,0.355200856924057,portrait_101,portrait,101
2,899,False,2,-2.116593599319458,0.27255797386169434,0.5654306411743164,0.07331649959087372,0.1110411211848259,0.020415635779500008,0.08110732585191727,0.2820061147212982,0.30085334181785583,0.2634655833244324,0.818255603313446,0.9259617328643799,0.7205406427383423,portrait_101,portrait,101
3,849,False,3,-1.8629876375198364,0.2536059617996216,0.819036602973938,0.07094042748212814,0.16258765757083893,0.03280486539006233,0.11146029084920883,0.3853030204772949,0.38468047976493835,0.38590359687805176,0.937995433807373,1.0277013778686523,0.8628530502319336,portrait_101,portrait,101
4,799,False,4,-1.6268385648727417,0.23614907264709473,1.0551856756210327,0.10663224011659622,0.26202085614204407,0.05434853956103325,0.09452133625745773,0.5188251733779907,0.544055163860321,0.4937131106853485,1.1147834062576294,1.2195147275924683,1.0090429782867432,portrait_101,portrait,101
5,749,True,0,-1.406521201133728,0.22031736373901367,0.0,0.056603070348501205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
6,699,False,1,-1.200291395187378,0.2062298059463501,0.2062298059463501,0.06956260651350021,0.06956260651350021,0.012345358729362488,0.03641432523727417,0.12686139345169067,0.1323077231645584,0.12146256119012833,0.25063684582710266,0.29688185453414917,0.20480448007583618,portrait_101,portrait,101
7,649,False,2,-1.006303310394287,0.19398808479309082,0.4002178907394409,0.073826864361763,0.144389346241951,0.026654811576008797,0.05432563275098801,0.23622938990592957,0.24657799303531647,0.22595523297786713,0.42215919494628906,0.48768988251686096,0.35718098282814026,portrait_101,portrait,101
8,599,False,3,-0.8226233124732971,0.18367999792099,0.5838978886604309,0.07517863065004349,0.22214338183403015,0.03929116576910019,0.06988975405693054,0.3172686696052551,0.3294767439365387,0.30512553453445435,0.5229772329330444,0.5957987308502197,0.4507324695587158,portrait_101,portrait,101
9,549,False,4,-0.6472349762916565,0.17538833618164062,0.7592862248420715,0.07581879943609238,0.30395638942718506,0.052958037704229355,0.0868920311331749,0.38689789175987244,0.39965635538101196,0.37419191002845764,0.5936803817749023,0.6688357591629028,0.5189840793609619,portrait_101,portrait,101
10,500,True,0,-0.4813636541366577,0.16587132215499878,0.0,0.07428149878978729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
11,450,False,1,-0.31602802872657776,0.16533562541007996,0.16533562541007996,0.07436737418174744,0.07436737418174744,0.01634236052632332,0.024366462603211403,0.09404528886079788,0.09525562822818756,0.09283892065286636,0.10756116360425949,0.11562735587358475,0.09952880442142487,portrait_101,portrait,101
12,400,False,2,-0.15219885110855103,0.16382917761802673,0.3291648030281067,0.07157222181558609,0.1488071233034134,0.03906876593828201,0.05689717084169388,0.19320820271968842,0.19466833770275116,0.1917535662651062,0.21149131655693054,0.2247994989156723,0.1982477903366089,portrait_101,portrait,101
13,350,False,3,0.012974858283996582,0.1651737093925476,0.4943385124206543,0.0677701011300087,0.22203145921230316,0.06774768233299255,0.0873706191778183,0.291343629360199,0.29481422901153564,0.287885457277298,0.30911147594451904,0.32568904757499695,0.2926388084888458,portrait_101,portrait,101
14,300,False,4,0.1830180287361145,0.17004317045211792,0.6643816828727722,0.06358334422111511,0.2932063043117523,0.10077638179063797,0.1227540373802185,0.3808443546295166,0.38519057631492615,0.3765140175819397,0.39609473943710327,0.4159221947193146,0.3764287829399109,portrait_101,portrait,101
15,250,True,0,0.36269381642341614,0.17967578768730164,0.0,0.058542508631944656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
16,200,False,1,0.5591998100280762,0.19650599360466003,0.19650599360466003,0.05335718393325806,0.05335718393325806,0.04191688448190689,0.04658123478293419,0.12111160904169083,0.12248493731021881,0.11974285542964935,0.11303528398275375,0.1161886602640152,0.10990030318498611,portrait_101,portrait,101
17,150,False,2,0.7850973606109619,0.22589755058288574,0.4224035441875458,0.048390693962574005,0.10310472548007965,0.0981191024184227,0.10243243724107742,0.24662363529205322,0.24886001646518707,0.24439415335655212,0.21689443290233612,0.22164836525917053,0.21214662492275238,portrait_101,portrait,101
18,100,False,3,1.0673118829727173,0.28221452236175537,0.7046180665493011,0.044222600758075714,0.14947693049907684,0.17208455502986908,0.17865170538425446,0.37615108489990234,0.37875115871429443,0.3735579550266266,0.3112603425979614,0.31697937846183777,0.3055262267589569,portrait_101,portrait,101
19,50,False,4,1.4890689849853516,0.4217571020126343,1.1263751685619354,0.04164619371294975,0.19340290129184723,0.2875334322452545,0.3130981922149658,0.52176833152771,0.5241326093673706,0.5194095969200134,0.3999834954738617,0.40641966462135315,0.3935280740261078,portrait_101,portrait,101
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.036605581641197205,0.036605581641197205,0.006609895266592503,0.06081409752368927,0.1040787547826767,0.09069455415010452,0.11744111031293869,0.3223594129085541,0.31929370760917664,0.3251233994960785,portrait_202,portrait,202
2,899,False,2,-2.116593599319458,0.27255797386169434,0.5654306411743164,0.08904306590557098,0.11917653679847717,0.03658793121576309,0.0878773108124733,0.3509242534637451,0.3795529305934906,0.3224285840988159,1.0345287322998047,1.1827006340026855,0.8982922434806824,portrait_202,portrait,202
3,849,False,3,-1.8629876375198364,0.2536059617996216,0.819036602973938,0.0678820088505745,0.1557418704032898,0.046778786927461624,0.1085200160741806,0.4026641547679901,0.4142471253871918,0.3912360966205597,1.0635651350021362,1.1743768453598022,0.967716634273529,portrait_202,portrait,202
4,799,False,4,-1.6268385648727417,0.23614907264709473,1.0551856756210327,0.08728474378585815,0.232077494263649,0.0659860298037529,0.08988285809755325,0.5096887350082397,0.5217251777648926,0.49775680899620056,1.1768162250518799,1.277980923652649,1.0810344219207764,portrait_202,portrait,202
5,749,True,0,-1.406521201133728,0.22031736373901367,0.0,0.07082570344209671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
6,699,False,1,-1.200291395187378,0.2062298059463501,0.2062298059463501,0.07768972963094711,0.07768972963094711,0.013563835062086582,0.04539749026298523,0.156720370054245,0.17382705211639404,0.13966460525989532,0.22653134167194366,0.28067290782928467,0.17314331233501434,portrait_202,portrait,202
7,649,False,2,-1.006303310394287,0.19398808479309082,0.4002178907394409,0.0784960612654686,0.15565520524978638,0.026803212240338326,0.06306948512792587,0.2680201530456543,0.27785012125968933,0.2582147419452667,0.3468792140483856,0.41006436944007874,0.28367581963539124,portrait_202,portrait,202
8,599,False,3,-0.8226233124732971,0.18367999792099,0.5838978886604309,0.08180323243141174,0.24103546142578125,0.04564306512475014,0.0853855237364769,0.36851173639297485,0.3780509829521179,0.35900139808654785,0.48695138096809387,0.5653561949729919,0.4089392125606537,portrait_202,portrait,202
9,549,False,4,-0.6472349762916565,0.17538833618164062,0.7592862248420715,0.08228851109743118,0.3301515281200409,0.062393900007009506,0.10322680324316025,0.4483841359615326,0.45555537939071655,0.441233366727829,0.5773313045501709,0.653984546661377,0.5013570189476013,portrait_202,portrait,202
10,500,True,0,-0.4813636541366577,0.16587132215499878,0.0,0.07935092598199844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
11,450,False,1,-0.31602802872657776,0.16533562541007996,0.16533562541007996,0.0786486566066742,0.0786486566066742,0.02343408763408661,0.03837921470403671,0.13181139528751373,0.13597403466701508,0.12766140699386597,0.13883909583091736,0.14713481068611145,0.1306229829788208,portrait_202,portrait,202
12,400,False,2,-0.15219885110855103,0.16382917761802673,0.3291648030281067,0.07505227625370026,0.15708495676517487,0.05388004332780838,0.07528825849294662,0.24696776270866394,0.2520623505115509,0.24189354479312897,0.26766249537467957,0.2822195589542389,0.25319984555244446,portrait_202,portrait,202
13,350,False,3,0.012974858283996582,0.1651737093925476,0.4943385124206543,0.07039236277341843,0.23385043442249298,0.08789227902889252,0.11404504626989365,0.3471658229827881,0.35258498787879944,0.3417694568634033,0.3681788444519043,0.38730689883232117,0.34914538264274597,portrait_202,portrait,202
14,300,False,4,0.1830180287361145,0.17004317045211792,0.6643816828727722,0.06525973230600357,0.30782490968704224,0.12688392400741577,0.15004697442054749,0.43822991847991943,0.44418224692344666,0.43230172991752625,0.46642112731933594,0.4885652959346771,0.4443724751472473,portrait_202,portrait,202
15,250,True,0,0.36269381642341614,0.17967578768730164,0.0,0.05983171984553337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
16,200,False,1,0.5591998100280762,0.19650599360466003,0.19650599360466003,0.05412856489419937,0.05412856489419937,0.04934258759021759,0.061809882521629333,0.14056572318077087,0.14239616692066193,0.13874240219593048,0.14216792583465576,0.1472039371728897,0.13715524971485138,portrait_202,portrait,202
17,150,False,2,0.7850973606109619,0.22589755058288574,0.4224035441875458,0.048913516104221344,0.10448455065488815,0.10586599260568619,0.12248367071151733,0.26622045040130615,0.2690611779689789,0.26338887214660645,0.26803791522979736,0.277048796415329,0.25909867882728577,portrait_202,portrait,202
18,100,False,3,1.0673118829727173,0.28221452236175537,0.7046180665493011,0.04451344162225723,0.15126574039459229,0.1745603084564209,0.19300344586372375,0.3856692612171173,0.38848891854286194,0.3828577399253845,0.3708954453468323,0.3821626305580139,0.3597501814365387,portrait_202,portrait,202
19,50,False,4,1.4890689849853516,0.4217571020126343,1.1263751685619354,0.04176810011267662,0.19542720913887024,0.28602108359336853,0.3129132390022278,0.5204114317893982,0.5230150818824768,0.5178136229515076,0.4762810468673706,0.4879198372364044,0.4647696316242218,portrait_202,portrait,202
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.018569234758615494,0.018569234758615494,0.004158976022154093,0.014067727141082287,0.0840935930609703,0.08286929130554199,0.085307277739048,0.22413215041160583,0.2771943211555481,0.18270452320575714,people_101,people,101
2,899,False,2,-2.116593599319458,0.27255797386169434,0.5654306411743164,0.027622779831290245,0.045343153178691864,0.011944993399083614,0.03187454864382744,0.18264424800872803,0.18213360011577606,0.1831493079662323,0.5050321817398071,0.6111025214195251,0.4233912229537964,people_101,people,101
3,849,False,3,-1.8629876375198364,0.2536059617996216,0.819036602973938,0.037720199674367905,0.08101435005664825,0.024805355817079544,0.06420591473579407,0.29869478940963745,0.2983972132205963,0.2989893853664398,0.7576508522033691,0.8971254825592041,0.6476695537567139,people_101,people,101
4,799,False,4,-1.6268385648727417,0.23614907264709473,1.0551856756210327,0.056030869483947754,0.13158904016017914,0.044203583151102066,0.09922537952661514,0.4226727783679962,0.41979339718818665,0.4255306124687195,0.9509983062744141,1.0990166664123535,0.830900251865387,people_101,people,101
5,749,True,0,-1.406521201133728,0.22031736373901367,0.0,0.06694193929433823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
