case_id,step,age,block,feature_relative_l1,feature_cosine_distance,baseline_guided_noise_error,replacement_guided_noise_error,error_reduction,recovery_fraction,suffix_milliseconds
portrait_seed0,4,2,down_block_0,0.18978257797769937,0.013720512463995305,0.06799347698688507,0.0,0.06799347698688507,1.0,1857.7381591796875
portrait_seed0,4,2,down_block_1,0.35327446855086486,0.04736187112327894,0.06799347698688507,0.012847431935369968,0.0551460450515151,0.8110490519870304,1668.25048828125
portrait_seed0,4,2,down_block_2,0.4855808630432339,0.10239102964699187,0.06799347698688507,0.024871788918972015,0.043121688067913055,0.6342033085943022,1600.200439453125
portrait_seed0,4,2,down_block_3,0.4927218055428474,0.12077757988435167,0.06799347698688507,0.04686264321208,0.02113083377480507,0.3107773673477662,1577.048095703125
portrait_seed0,4,2,mid_block,0.5204387637298823,0.13957722320704224,0.06799347698688507,0.05047447979450226,0.017518997192382812,0.257657027831684,1551.9068603515625
portrait_seed0,4,2,up_block_3,0.5343845614403149,0.13861458573615992,0.06799347698688507,0.046156205236911774,0.021837271749973297,0.32116715775816823,1510.023681640625
portrait_seed0,4,2,up_block_2,0.5895869951717436,0.23304549261716845,0.06799347698688507,0.02179955318570137,0.0461939238011837,0.6793875802247004,1384.898681640625
portrait_seed0,4,2,up_block_1,0.5852794849345354,0.22499105158308474,0.06799347698688507,0.00864174123853445,0.05935173574835062,0.8729033780666737,1170.2109375
portrait_seed0,4,2,up_boundary,0.29968196091109633,0.0304381061255925,0.06799347698688507,0.0,0.06799347698688507,1.0,361.181396484375
portrait_seed0,9,2,down_block_0,0.2154696598649719,0.01883792389172856,0.06715933233499527,0.0,0.06715933233499527,1.0,2071.37451171875
portrait_seed0,9,2,down_block_1,0.3154713653813637,0.033515498813400546,0.06715933233499527,0.018281027674674988,0.04887830466032028,0.7277961671285237,1911.983642578125
portrait_seed0,9,2,down_block_2,0.35953646089524294,0.05753068755050794,0.06715933233499527,0.030234508216381073,0.0369248241186142,0.549809279437602,1839.24267578125
portrait_seed0,9,2,down_block_3,0.3500859238526768,0.06060008377169146,0.06715933233499527,0.052205540239810944,0.014953792095184326,0.22266141689130864,1817.9801025390625
portrait_seed0,9,2,mid_block,0.31539655995265053,0.04802218984365847,0.06715933233499527,0.05384616553783417,0.013313166797161102,0.19823256626129232,1797.2896728515625
portrait_seed0,9,2,up_block_3,0.26937685723081867,0.03134585851067906,0.06715933233499527,0.05190800502896309,0.01525132730603218,0.22709170528911057,1752.1158447265625
portrait_seed0,9,2,up_block_2,0.2512559290708645,0.032151244583065175,0.06715933233499527,0.02916102670133114,0.03799830563366413,0.5657933799002948,1623.248046875
portrait_seed0,9,2,up_block_1,0.29661727949720634,0.050502729465471075,0.06715933233499527,0.01626039482653141,0.05089893750846386,0.7578833162690858,1395.5802001953125
portrait_seed0,9,2,up_boundary,0.23628663647914588,0.024396568248314154,0.06715933233499527,0.0,0.06715933233499527,1.0,405.0667724609375
portrait_seed0,12,2,down_block_0,0.21519863433083247,0.019853873274420564,0.08112117648124695,0.0,0.08112117648124695,1.0,2145.24853515625
portrait_seed0,12,2,down_block_1,0.2919713830978754,0.03011351900066528,0.08112117648124695,0.026293780654668808,0.05482739582657814,0.6758703239375821,1990.7159423828125
portrait_seed0,12,2,down_block_2,0.34419237294736527,0.05920169590562607,0.08112117648124695,0.04199322313070297,0.039127953350543976,0.48233956961397517,1917.6109619140625
portrait_seed0,12,2,down_block_3,0.3349574643658342,0.058681991028335934,0.08112117648124695,0.07125108689069748,0.009870089590549469,0.12167093746268794,1900.4404296875
portrait_seed0,12,2,mid_block,0.3019763628252797,0.045303350819035026,0.08112117648124695,0.07176902145147324,0.009352155029773712,0.11528623517850091,1877.810302734375
portrait_seed0,12,2,up_block_3,0.25092694786964787,0.027759689451310243,0.08112117648124695,0.07186564803123474,0.009255528450012207,0.11409509639140697,1834.0556640625
portrait_seed0,12,2,up_block_2,0.23036780002166093,0.027254407141533377,0.08112117648124695,0.04039674997329712,0.04072442650794983,0.5020196732152206,1701.5421142578125
portrait_seed0,12,2,up_block_1,0.25346967546467786,0.033882589258982354,0.08112117648124695,0.023493515327572823,0.057627661153674126,0.7103898593851891,1466.36328125
portrait_seed0,12,2,up_boundary,0.2227646318835258,0.024425750035787397,0.08112117648124695,0.0,0.08112117648124695,1.0,431.6252136230469
portrait_seed0,15,2,down_block_0,0.23466123044666137,0.024513105071368835,0.09300296008586884,0.0,0.09300296008586884,1.0,2203.19091796875
