case,prompt_id,seed,step,model,baseline_guided_noise_error,residual_relative_l1,corrected_feature_relative_l1,guided_noise_error,recovery_fraction,milliseconds
animal_seed101,animal,101,9,oracle,0.1005062386393547,0.0,0.0,0.029204344376921654,0.7094275462669015,1436.35009765625
animal_seed101,animal,101,12,channel_mean,0.10774538666009903,0.9840952754020691,0.26786962151527405,0.10568380355834961,0.019133841045584916,1532.2808837890625
animal_seed101,animal,101,12,channel_affine,0.10774538666009903,0.9908145666122437,0.2696985900402069,0.10433419048786163,0.03165978867381663,1504.953369140625
animal_seed101,animal,101,12,oracle,0.10774538666009903,0.0,0.0,0.03872125223278999,0.6406226435017334,1517.3939208984375
animal_seed101,animal,101,15,channel_mean,0.13683965802192688,0.9840654730796814,0.30539989471435547,0.13106516003608704,0.04219900918573292,1571.28369140625
animal_seed101,animal,101,15,channel_affine,0.13683965802192688,0.9814844131469727,0.304598867893219,0.12913721799850464,0.05628806834775939,1557.3193359375
animal_seed101,animal,101,15,oracle,0.13683965802192688,0.0,0.0,0.05461343005299568,0.6008947198315524,1573.612548828125
animal_seed101,animal,101,18,channel_mean,0.17167958617210388,0.9201764464378357,0.23451949656009674,0.16155943274497986,0.058947913684850445,1593.459228515625
animal_seed101,animal,101,18,channel_affine,0.17167958617210388,0.9044042825698853,0.2304997444152832,0.15635010600090027,0.08929122275397523,1588.5653076171875
animal_seed101,animal,101,18,oracle,0.17167958617210388,0.0,0.0,0.08747459203004837,0.4904776160028858,1600.6065673828125
animal_seed202,animal,202,4,channel_mean,0.07359253615140915,0.9867263436317444,0.599714457988739,0.0746767520904541,-0.014732688880490386,1098.762939453125
animal_seed202,animal,202,4,channel_affine,0.07359253615140915,0.989654541015625,0.6014941930770874,0.07374391704797745,-0.0020570142637406537,1108.531005859375
animal_seed202,animal,202,4,oracle,0.07359253615140915,0.0,0.0,0.012103009037673473,0.8355402643989227,1119.701904296875
animal_seed202,animal,202,9,channel_mean,0.1601426601409912,0.9836341738700867,0.40255337953567505,0.16043922305107117,-0.0018518670154402273,1290.5416259765625
animal_seed202,animal,202,9,channel_affine,0.1601426601409912,0.9893705248832703,0.4049009680747986,0.15905898809432983,0.006766916733538092,1282.155517578125
animal_seed202,animal,202,9,oracle,0.1601426601409912,0.0,0.0,0.034930307418107986,0.7818800600205155,1310.1207275390625
