index,timestep,refresh,age,lambda_value,delta_lambda,lambda_distance,conv_previous,conv_cache,noise_error,guided_noise_error,boundary_error,boundary_uncond_error,boundary_cond_error,mid_error,mid_uncond_error,mid_cond_error,case,prompt_id,seed
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.040193624794483185,0.040193624794483185,0.006072300020605326,0.039779625833034515,0.10528232902288437,0.09734437614679337,0.11310914158821106,0.385252445936203,0.42042791843414307,0.355200856924057,portrait_101,portrait,101
2,899,False,2,-2.116593599319458,0.27255797386169434,0.5654306411743164,0.07331649959087372,0.1110411211848259,0.020415635779500008,0.08110732585191727,0.2820061147212982,0.30085334181785583,0.2634655833244324,0.818255603313446,0.9259617328643799,0.7205406427383423,portrait_101,portrait,101
3,849,False,3,-1.8629876375198364,0.2536059617996216,0.819036602973938,0.07094042748212814,0.16258765757083893,0.03280486539006233,0.11146029084920883,0.3853030204772949,0.38468047976493835,0.38590359687805176,0.937995433807373,1.0277013778686523,0.8628530502319336,portrait_101,portrait,101
4,799,True,0,-1.6268385648727417,0.23614907264709473,0.0,0.10663224011659622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
5,749,False,1,-1.406521201133728,0.22031736373901367,0.22031736373901367,0.056603070348501205,0.056603070348501205,0.012853948399424553,0.03254372254014015,0.13448776304721832,0.1407794952392578,0.1282414048910141,0.2194444090127945,0.25807273387908936,0.18092074990272522,portrait_101,portrait,101
6,699,False,2,-1.200291395187378,0.2062298059463501,0.42654716968536377,0.06956260651350021,0.12387003004550934,0.024928104132413864,0.062367066740989685,0.24291525781154633,0.25300347805023193,0.2329149693250656,0.4271375834941864,0.49988386034965515,0.3550403416156769,portrait_101,portrait,101
7,649,False,3,-1.006303310394287,0.19398808479309082,0.6205352544784546,0.073826864361763,0.1979098618030548,0.03916575387120247,0.07631023973226547,0.3381662666797638,0.3512239158153534,0.32520246505737305,0.5710041522979736,0.6567233204841614,0.48600760102272034,portrait_101,portrait,101
8,599,True,0,-0.8226233124732971,0.18367999792099,0.0,0.07517863065004349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
9,549,False,1,-0.6472349762916565,0.17538833618164062,0.17538833618164062,0.07581879943609238,0.07581879943609238,0.01254163309931755,0.020515205338597298,0.09329299628734589,0.09661882370710373,0.089980848133564,0.12307757884263992,0.13746637105941772,0.10877664387226105,portrait_101,portrait,101
10,500,False,2,-0.4813636541366577,0.16587132215499878,0.3412596583366394,0.07428149878978729,0.1527976244688034,0.026992451399564743,0.04148776829242706,0.17886802554130554,0.1839798092842102,0.17377372086048126,0.22469018399715424,0.24841469526290894,0.20106934010982513,portrait_101,portrait,101
11,450,False,3,-0.31602802872657776,0.16533562541007996,0.5065952837467194,0.07436737418174744,0.23277772963047028,0.044990021735429764,0.06576138734817505,0.2622937560081482,0.2678457796573639,0.256759911775589,0.31594088673591614,0.3451823592185974,0.28682205080986023,portrait_101,portrait,101
12,400,True,0,-0.15219885110855103,0.16382917761802673,0.0,0.07157222181558609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
13,350,False,1,0.012974858283996582,0.1651737093925476,0.1651737093925476,0.0677701011300087,0.0677701011300087,0.02682306617498398,0.03848322853446007,0.11436117440462112,0.11699306964874268,0.1117386445403099,0.12206908315420151,0.12658117711544037,0.11758551001548767,portrait_101,portrait,101
14,300,False,2,0.1830180287361145,0.17004317045211792,0.3352168798446655,0.06358334422111511,0.13373707234859467,0.05870365723967552,0.07282096892595291,0.21951794624328613,0.22371657192707062,0.2153346836566925,0.23278580605983734,0.24209319055080414,0.22355419397354126,portrait_101,portrait,101
15,250,False,3,0.36269381642341614,0.17967578768730164,0.5148926675319672,0.058542508631944656,0.19658738374710083,0.09737002849578857,0.11002825200557709,0.3189544379711151,0.3237656354904175,0.31416046619415283,0.3290431499481201,0.3403191864490509,0.31786713004112244,portrait_101,portrait,101
16,200,True,0,0.5591998100280762,0.19650599360466003,0.0,0.05335718393325806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
17,150,False,1,0.7850973606109619,0.22589755058288574,0.22589755058288574,0.048390693962574005,0.048390693962574005,0.05350065603852272,0.05651313066482544,0.13336090743541718,0.13459087908267975,0.13213472068309784,0.11352751404047012,0.11580044776201248,0.11125753074884415,portrait_101,portrait,101
18,100,False,2,1.0673118829727173,0.28221452236175537,0.5081120729446411,0.044222600758075714,0.0936305969953537,0.12494520843029022,0.1298809051513672,0.27314430475234985,0.2749651372432709,0.271328330039978,0.2212623804807663,0.2255052775144577,0.2170083075761795,portrait_101,portrait,101
19,50,False,3,1.4890689849853516,0.4217571020126343,0.9298691749572754,0.04164619371294975,0.1366870254278183,0.23759865760803223,0.2528427243232727,0.4328818917274475,0.43464574217796326,0.4311220943927765,0.3259170651435852,0.3313668370246887,0.32045093178749084,portrait_101,portrait,101
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.036605581641197205,0.036605581641197205,0.006609895266592503,0.06081409752368927,0.1040787547826767,0.09069455415010452,0.11744111031293869,0.3223594129085541,0.31929370760917664,0.3251233994960785,portrait_202,portrait,202
2,899,False,2,-2.116593599319458,0.27255797386169434,0.5654306411743164,0.08904306590557098,0.11917653679847717,0.03658793121576309,0.0878773108124733,0.3509242534637451,0.3795529305934906,0.3224285840988159,1.0345287322998047,1.1827006340026855,0.8982922434806824,portrait_202,portrait,202
3,849,False,3,-1.8629876375198364,0.2536059617996216,0.819036602973938,0.0678820088505745,0.1557418704032898,0.046778786927461624,0.1085200160741806,0.4026641547679901,0.4142471253871918,0.3912360966205597,1.0635651350021362,1.1743768453598022,0.967716634273529,portrait_202,portrait,202
4,799,True,0,-1.6268385648727417,0.23614907264709473,0.0,0.08728474378585815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
5,749,False,1,-1.406521201133728,0.22031736373901367,0.22031736373901367,0.07082570344209671,0.07082570344209671,0.013395972549915314,0.05747195705771446,0.16454271972179413,0.1894286572933197,0.13987435400485992,0.297775536775589,0.38712015748023987,0.21103152632713318,portrait_202,portrait,202
6,699,False,2,-1.200291395187378,0.2062298059463501,0.42654716968536377,0.07768972963094711,0.14070698618888855,0.023722447454929352,0.062494855374097824,0.26891425251960754,0.2858501374721527,0.25202879309654236,0.397777259349823,0.4856966435909271,0.31108155846595764,portrait_202,portrait,202
7,649,False,3,-1.006303310394287,0.19398808479309082,0.6205352544784546,0.0784960612654686,0.22022870182991028,0.03711123391985893,0.09015917778015137,0.3729555308818817,0.3897821009159088,0.35617098212242126,0.5187574028968811,0.6121412515640259,0.425346702337265,portrait_202,portrait,202
8,599,True,0,-0.8226233124732971,0.18367999792099,0.0,0.08180323243141174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
9,549,False,1,-0.6472349762916565,0.17538833618164062,0.17538833618164062,0.08228851109743118,0.08228851109743118,0.0177545677870512,0.03433207795023918,0.13984379172325134,0.14739252626895905,0.1323164701461792,0.15155458450317383,0.1627267599105835,0.1404813528060913,portrait_202,portrait,202
10,500,False,2,-0.4813636541366577,0.16587132215499878,0.3412596583366394,0.07935092598199844,0.16466335952281952,0.03805866837501526,0.05982717126607895,0.2525404095649719,0.2619064450263977,0.24320510029792786,0.2751750946044922,0.2929651737213135,0.25757908821105957,portrait_202,portrait,202
11,450,False,3,-0.31602802872657776,0.16533562541007996,0.5065952837467194,0.0786486566066742,0.25011664628982544,0.06343242526054382,0.0900031104683876,0.35578054189682007,0.3670799732208252,0.3445153534412384,0.38404834270477295,0.40762341022491455,0.3606995940208435,portrait_202,portrait,202
12,400,True,0,-0.15219885110855103,0.16382917761802673,0.0,0.07505227625370026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
13,350,False,1,0.012974858283996582,0.1651737093925476,0.1651737093925476,0.07039236277341843,0.07039236277341843,0.03217240050435066,0.04718872532248497,0.1307995766401291,0.1324029266834259,0.1292029470205307,0.13904134929180145,0.14614154398441315,0.13197624683380127,portrait_202,portrait,202
14,300,False,2,0.1830180287361145,0.17004317045211792,0.3352168798446655,0.06525973230600357,0.13835082948207855,0.07021414488554001,0.09067076444625854,0.2481459528207779,0.2516925036907196,0.24461379647254944,0.2790452837944031,0.29155486822128296,0.26658961176872253,portrait_202,portrait,202
15,250,False,3,0.36269381642341614,0.17967578768730164,0.5148926675319672,0.05983171984553337,0.20303305983543396,0.11444388329982758,0.1362643837928772,0.35512781143188477,0.3598436713218689,0.350430965423584,0.37729981541633606,0.3914724588394165,0.36317193508148193,portrait_202,portrait,202
16,200,True,0,0.5591998100280762,0.19650599360466003,0.0,0.05412856489419937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
17,150,False,1,0.7850973606109619,0.22589755058288574,0.22589755058288574,0.048913516104221344,0.048913516104221344,0.05538143217563629,0.0683511272072792,0.1415114849805832,0.14319616556167603,0.1398322582244873,0.145871102809906,0.15123902261257172,0.14054584503173828,portrait_202,portrait,202
18,100,False,2,1.0673118829727173,0.28221452236175537,0.5081120729446411,0.04451344162225723,0.09448954463005066,0.12454001605510712,0.14284402132034302,0.2779652774333954,0.27999842166900635,0.2759380340576172,0.272343248128891,0.28185734152793884,0.26293206214904785,portrait_202,portrait,202
19,50,False,3,1.4890689849853516,0.4217571020126343,0.9298691749572754,0.04176810011267662,0.1377139687538147,0.236219584941864,0.260789692401886,0.4312170743942261,0.4332156181335449,0.4292231500148773,0.40029409527778625,0.4110904335975647,0.3896159827709198,portrait_202,portrait,202
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.018569234758615494,0.018569234758615494,0.004158976022154093,0.014067727141082287,0.0840935930609703,0.08286929130554199,0.085307277739048,0.22413215041160583,0.2771943211555481,0.18270452320575714,people_101,people,101
2,899,False,2,-2.116593599319458,0.27255797386169434,0.5654306411743164,0.027622779831290245,0.045343153178691864,0.011944993399083614,0.03187454864382744,0.18264424800872803,0.18213360011577606,0.1831493079662323,0.5050321817398071,0.6111025214195251,0.4233912229537964,people_101,people,101
3,849,False,3,-1.8629876375198364,0.2536059617996216,0.819036602973938,0.037720199674367905,0.08101435005664825,0.024805355817079544,0.06420591473579407,0.29869478940963745,0.2983972132205963,0.2989893853664398,0.7576508522033691,0.8971254825592041,0.6476695537567139,people_101,people,101
4,799,True,0,-1.6268385648727417,0.23614907264709473,0.0,0.056030869483947754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
5,749,False,1,-1.406521201133728,0.22031736373901367,0.22031736373901367,0.06694193929433823,0.06694193929433823,0.026002148166298866,0.11103086173534393,0.23353515565395355,0.2312282770872116,0.23579896986484528,0.496954083442688,0.6136881709098816,0.40148815512657166,people_101,people,101
