case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,dropped_refresh,refresh_reasons,nsfw_flag,ssim,psnr_db,mean_absolute_rgb_error
animal_202,animal,drop_middle8,202,29.65586157515645,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.4296785295009613,11.96532836397786,0.18040934543983608
interior_101,interior,drop_early8,101,30.001741129904985,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.5661782026290894,14.510776456692282,0.11833119111902574
interior_101,interior,drop_middle8,101,30.0633192807436,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.6046686172485352,16.87100449118399,0.08390159357606974
interior_101,interior,drop_late8,101,29.90907507017255,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.5946006774902344,16.616545037585652,0.0868493024040671
interior_202,interior,drop_middle8,202,29.98662705346942,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.6840309500694275,16.707528314326122,0.08165136599073224
interior_202,interior,drop_late8,202,29.938124295324087,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.6874837875366211,16.61091660370744,0.08171067082024867
interior_202,interior,drop_early8,202,30.000792358070612,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.5833523869514465,14.193117770262182,0.13092177147958792
architecture_101,architecture,drop_late8,101,29.797459974884987,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.3280133903026581,10.935869570957708,0.20173075557534212
architecture_101,architecture,drop_early8,101,30.004736956208944,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.2561589479446411,9.299878009144654,0.2432945450926139
architecture_101,architecture,drop_middle8,101,29.797691099345684,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.33365580439567566,10.833742402623196,0.20288672353707107
architecture_202,architecture,drop_early8,202,30.554175179451704,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.21197198331356049,9.940271994089388,0.2435550016515395
architecture_202,architecture,drop_middle8,202,30.30897894874215,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.3135092854499817,10.47789522514162,0.21145215501972273
architecture_202,architecture,drop_late8,202,30.244465220719576,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.30812397599220276,10.563124700878523,0.20936486237968496
nature_101,nature,drop_middle8,101,30.661629356443882,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.7498746514320374,18.048072900575754,0.08629697413226359
nature_101,nature,drop_late8,101,30.27093431726098,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.7422970533370972,17.79760072359378,0.08841659446167789
