mode,reference,metric,mean_difference,ci_low,ci_high,prompts_better,prompts_worse
early1,early2,ssim,-0.020048005133867265,-0.049707258306443694,0.00814753064885735,4,6
early1,early2,psnr_db,-0.30378967600432744,-0.9237567940037266,0.2950444058004115,4,6
early1,early2,mean_absolute_rgb_error,-0.004271927129209435,-0.012150824534347637,0.003970359459421985,3,7
early3,early2,ssim,-0.019758227467536926,-0.04716752342879772,0.007105793729424459,4,6
early3,early2,psnr_db,-0.4953376223313063,-1.2465887655827417,0.1566106762653243,3,7
early3,early2,mean_absolute_rgb_error,-0.007450611388761233,-0.016632984473035226,0.0014152905208612548,4,6
early4,early2,ssim,-0.06199272200465202,-0.1057100016437471,-0.025961318369954838,1,9
early4,early2,psnr_db,-1.2865720703230783,-2.295391506199822,-0.4257769740240488,1,9
early4,early2,mean_absolute_rgb_error,-0.022491645314335045,-0.036305993385564256,-0.009972075736600599,1,9
