case_id,step,age,kind,baseline_guided_noise_error,guided_noise_error,error_reduction,recovery_fraction,milliseconds
portrait_seed0,4,2,activation_only,0.06799347698688507,0.06799347698688507,0.0,0.0,359.7371826171875
portrait_seed0,4,2,suffix_only,0.06799347698688507,0.068428635597229,-0.0004351586103439331,-0.006400005259737912,1138.7484130859375
portrait_seed0,4,2,activation_plus_suffix,0.06799347698688507,0.00864174123853445,0.05935173574835062,0.8729033780666737,1171.3553466796875
portrait_seed0,9,2,activation_only,0.06715933233499527,0.06715933233499527,0.0,0.0,404.1350402832031
portrait_seed0,9,2,suffix_only,0.06715933233499527,0.06675555557012558,0.00040377676486968994,0.0060122212480556575,1387.717529296875
portrait_seed0,9,2,activation_plus_suffix,0.06715933233499527,0.01626039482653141,0.05089893750846386,0.7578833162690858,1398.821044921875
portrait_seed0,12,2,activation_only,0.08112117648124695,0.08112117648124695,0.0,0.0,432.2529296875
portrait_seed0,12,2,suffix_only,0.08112117648124695,0.07900997996330261,0.002111196517944336,0.02602522065779443,1463.606201171875
portrait_seed0,12,2,activation_plus_suffix,0.08112117648124695,0.023493515327572823,0.057627661153674126,0.7103898593851891,1465.656494140625
portrait_seed0,15,2,activation_only,0.09300296008586884,0.09300296008586884,0.0,0.0,457.0832824707031
portrait_seed0,15,2,suffix_only,0.09300296008586884,0.08819281309843063,0.004810146987438202,0.05172036441632647,1521.4573974609375
portrait_seed0,15,2,activation_plus_suffix,0.09300296008586884,0.035493455827236176,0.05750950425863266,0.6183620844490824,1518.7244873046875
portrait_seed0,18,2,activation_only,0.14289268851280212,0.14289268851280212,0.0,0.0,476.1686096191406
portrait_seed0,18,2,suffix_only,0.14289268851280212,0.13136164844036102,0.011531040072441101,0.08069720146253673,1563.1322021484375
portrait_seed0,18,2,activation_plus_suffix,0.14289268851280212,0.06819453835487366,0.07469815015792847,0.522756978928534,1554.3408203125
portrait_seed1,4,2,activation_only,0.062266118824481964,0.062266118824481964,0.0,0.0,357.9815368652344
portrait_seed1,4,2,suffix_only,0.062266118824481964,0.061757851392030716,0.0005082674324512482,0.00816282501698831,1150.4095458984375
portrait_seed1,4,2,activation_plus_suffix,0.062266118824481964,0.008573256433010101,0.05369286239147186,0.8623126574312956,1193.2230224609375
portrait_seed1,9,2,activation_only,0.08845136314630508,0.08845136314630508,0.0,0.0,393.8829650878906
portrait_seed1,9,2,suffix_only,0.08845136314630508,0.0878998190164566,0.0005515441298484802,0.006235563932872188,1378.3067626953125
portrait_seed1,9,2,activation_plus_suffix,0.08845136314630508,0.020425399765372276,0.06802596338093281,0.7690776146480959,1410.272216796875
portrait_seed1,12,2,activation_only,0.09623835235834122,0.09623835235834122,0.0,0.0,435.29901123046875
portrait_seed1,12,2,suffix_only,0.09623835235834122,0.09672194719314575,-0.0004835948348045349,-0.005024970014073818,1485.53759765625
portrait_seed1,12,2,activation_plus_suffix,0.09623835235834122,0.02265760861337185,0.07358074374496937,0.7645677834445171,1496.5333251953125
portrait_seed1,15,2,activation_only,0.09575147181749344,0.09575147181749344,0.0,0.0,461.0052185058594
portrait_seed1,15,2,suffix_only,0.09575147181749344,0.09221201390028,0.00353945791721344,0.03696504972748413,1548.177978515625
portrait_seed1,15,2,activation_plus_suffix,0.09575147181749344,0.03439975902438164,0.0613517127931118,0.6407391095778756,1549.962646484375
portrait_seed1,18,2,activation_only,0.13373014330863953,0.13373014330863953,0.0,0.0,477.07794189453125
portrait_seed1,18,2,suffix_only,0.13373014330863953,0.12383382767438889,0.009896315634250641,0.07400213137744613,1585.9146728515625
portrait_seed1,18,2,activation_plus_suffix,0.13373014330863953,0.06648363918066025,0.06724650412797928,0.5028522550280918,1587.630859375
animal_seed0,4,2,activation_only,0.08441682904958725,0.08441682904958725,0.0,0.0,367.1700134277344
animal_seed0,4,2,suffix_only,0.08441682904958725,0.08471202850341797,-0.000295199453830719,-0.0034969265862535067,1109.100341796875
animal_seed0,4,2,activation_plus_suffix,0.08441682904958725,0.013548891991376877,0.07086793705821037,0.8395001074558471,1120.974365234375
animal_seed0,9,2,activation_only,0.11084665358066559,0.11084665358066559,0.0,0.0,385.49884033203125
animal_seed0,9,2,suffix_only,0.11084665358066559,0.11188524216413498,-0.0010385885834693909,-0.009369597997954776,1350.7347412109375
animal_seed0,9,2,activation_plus_suffix,0.11084665358066559,0.02954210713505745,0.08130454644560814,0.7334867027486852,1379.09912109375
animal_seed0,12,2,activation_only,0.09670108556747437,0.09670108556747437,0.0,0.0,412.7339172363281
