left,right,metric,mean_difference,ci_low,ci_high,prompts_better,prompts_worse
fixed3,uniform9,ssim,-0.06617694348096848,-0.1174695685505867,-0.01849846839904785,0,5
fixed3,uniform9,psnr_db,-0.667549421292384,-1.3124389063754003,0.052698560373917756,1,4
fixed3,uniform9,mean_absolute_rgb_error,-0.016385749866759856,-0.027522844800762104,-0.006144688425500411,0,5
stage_aware9,uniform9,ssim,-0.1057606428861618,-0.16209805607795716,-0.044158455729484555,1,4
stage_aware9,uniform9,psnr_db,-1.4185638835542085,-2.1002597526924545,-0.5674548447508745,1,4
stage_aware9,uniform9,mean_absolute_rgb_error,-0.030589662439682898,-0.042444483439127594,-0.01697344262615528,0,5
drop_middle8,uniform9,ssim,-0.012034499645233154,-0.021259021759033204,-0.0033851683139801024,1,4
drop_middle8,uniform9,psnr_db,-0.13064459774633103,-0.24290636927798737,-0.03742257046394606,1,4
drop_middle8,uniform9,mean_absolute_rgb_error,-0.0029179930842779833,-0.005010428833805651,-0.0009504490272671633,1,4
