mode,metric,mean_benefit,ci_low,ci_high,prompts_positive,prompts_negative
drop_early8,ssim,0.10541900023818015,0.06988833844661713,0.1480159076489508,10,0
drop_early8,psnr_db,1.9144230348217253,1.010048138817661,2.9860152432527762,10,0
drop_early8,mean_absolute_rgb_error,0.03540739221510545,0.020968110121932684,0.05165117382224089,10,0
drop_early8,seconds,2.2593303192406893,1.636966547765769,2.8878984414739532,10,0
drop_middle8,ssim,0.004866343736648559,-0.0007677701115608214,0.009953038245439527,7,3
drop_middle8,psnr_db,0.060500038347488516,-0.035010833806085204,0.15531799117213613,6,4
drop_middle8,mean_absolute_rgb_error,0.0010826729169858018,-0.00026540236379586125,0.002431807898228463,6,4
drop_middle8,seconds,2.2753708949312568,1.7510212788172066,2.7427124751685183,10,0
drop_late8,ssim,0.009410648047924042,0.006257090158760548,0.012493533119559285,10,0
drop_late8,psnr_db,0.055795977252407966,0.028458767205459406,0.08163385304149315,9,1
drop_late8,mean_absolute_rgb_error,0.0008540815465590517,0.0005072253919115232,0.0011982590544457493,9,1
drop_late8,seconds,2.3660600230097772,1.84259890163783,2.83585782087408,10,0
