case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,refresh_reasons,nsfw_flag,psnr_db,ssim,mean_absolute_rgb_error
bird_202,bird,dpm20,202,57.703291300684214,3531.55908203125,20,20,0,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
bird_202,bird,fixed3,202,25.808894123882055,3640.37158203125,20,7,13,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,17.96800834140698,0.6713088750839233,0.09401420643127043
bird_202,bird,uniform9,202,30.770453061908484,3640.37158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,17.201352499404766,0.6702677607536316,0.09380729525696997
library_101,library,drop_middle8,101,29.503782760351896,3639.37158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,11.183637890414953,0.35712388157844543,0.18597914253184997
library_101,library,dpm20,101,59.94330072402954,3531.55908203125,20,20,0,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
library_101,library,fixed3,101,26.4658077172935,3640.37158203125,20,7,13,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,11.782712168649777,0.3146657645702362,0.1806776009353937
library_101,library,uniform9,101,31.569342486560345,3640.37158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,11.633615336082666,0.35967764258384705,0.1762628492966197
library_101,library,stage_aware9,101,31.634130276739597,3641.12158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,11.560892030329358,0.29908856749534607,0.18759779587290645
library_202,library,dpm20,202,58.99359356611967,3531.55908203125,20,20,0,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
library_202,library,fixed3,202,25.843251768499613,3640.37158203125,20,7,13,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,11.735399172938344,0.23265887796878815,0.18780146580116422
